nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur
ALEXIS-LEBRUN,63,112,garcon,coup_droit,1,att/att,serveur_point_contre,lat_droit,,g2,pt_gagne,,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,395,430,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,29.510773849487304,58.7541810353597,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,431,442,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g3,,poussette,43.98161087036133,-111.61393259366353,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,443,454,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,d3,,topspin,52.393914794921876,108.46078961690267,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,455,472,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,796,832,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g3,,,69.92502136230469,-114.39086351394653,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,833,841,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-26.652779388427735,102.81534411112467,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,842,850,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g3,,bloc,30.450967407226564,-102.5556901137034,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,851,867,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1089,1111,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,44.45914764404297,-53.16686757405599,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1112,1123,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,3.27977294921875,51.63512217203776,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1124,1140,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,-10.106818008422852,-51.64416338602702,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1141,1159,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,1398,1416,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,45.344604873657225,55.20575714111328,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1417,1426,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,d3,,flip,-36.49056892395019,-92.19078534444174,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1427,1438,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,-24.113005065917967,95.25554784138997,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1439,1452,garcon,revers,1,att/att,FAN-ZHENDONG,,intermediaire,g2,,bloc,70.22741928100587,-74.84259017308553,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1453,1473,garcon,revers,1,att/att,serveur_point_contre,,defensif,g1,pt_gagne,coupe,-76,32.03643557230632,2,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,1746,1783,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,5.825048446655273,62.84734242757161,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1784,1798,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,flip,-75.86837891712784,-124.56710806687673,2,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,2373,2391,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g3,,,52.71953506469727,-123.78399456342062,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2392,2411,garcon,revers,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,2720,2758,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,48.84285202026367,-59.574309730529784,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2759,2780,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,g3,,poussette,-26.49754695892334,118.92203165690104,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,2781,2791,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,-0.34230499267578124,-76.66341489156088,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2792,2804,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,3.778517150878906,106.91836547851562,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,2805,2813,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g3,,bloc,72.17979278564454,-93.01998138427734,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2814,2839,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,3092,3127,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m1,,,22.41202583312988,45.24225222269694,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,3128,3160,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,out,poussette,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3427,3446,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,29.417217636108397,47.73684336344401,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,3447,3462,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,-20.30394878387451,-49.45304520924886,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3463,3488,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,flip,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,3899,3929,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,7.1313926696777346,-63.16030082702637,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3930,3944,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,m3,,flip,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,3945,3955,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,14.157951354980469,-86.4560295422872,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3956,3968,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,m2,,topspin,-6.380239486694336,79.31712443033854,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,3969,3980,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,-5.2909198760986325,-74.28618532816569,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3981,4007,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,4451,4490,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,21.595177459716798,-49.37596842447917,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,4491,4502,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,d2,,poussette,34.19338264465332,69.46329867045084,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,4503,4516,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g3,,poussette,30.24075584411621,-127.44716805617014,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,4517,4527,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,g3,pt_gagne,topspin,-64.57958984375,129.42978630065917,2,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,4977,5010,garcon,revers,1,att/att,ALEXIS-LEBRUN,lat_gauche,,d2,,,56.403263854980466,65.32693456013997,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,5011,5024,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,57.360975646972655,-86.91233647664389,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5025,5035,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,60.89974594116211,88.92519989013672,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,5036,5062,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5362,5394,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_gauche,,g3,,,-50.8435492515564,103.68258641560872,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,5395,5414,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,5871,5908,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g3,,,55.03114471435547,-107.30773868560792,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5909,5915,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,m2,,topspin,-19.170800971984864,70.08026135762533,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,5916,5934,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,6445,6491,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-0.19961509704589844,-60.933549118041995,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,6492,6505,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,3.5612533569335936,82.8357593536377,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,6506,6517,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,d2,,poussette,-33.44369354248047,-53.313852628072105,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,6518,6533,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,d1,,poussette,31.684607696533202,43.521843338012694,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,6534,6556,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,out,poussette,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7127,7151,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g3,,,-31.96032600402832,98.91182174682618,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7152,7163,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,18.59186210632324,-123.7444196542104,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7164,7171,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,d3,,topspin,30.059572219848633,123.38192838033041,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7172,7182,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,g2,,bloc,72.2197868347168,-87.76119585037232,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7183,7194,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,d2,,bloc,31.823804092407226,60.004655838012695,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7195,7209,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,14.096170043945312,-93.49509369532267,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7210,7226,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,bloc,-53.608706855773924,103.94929351806641,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7227,7255,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7574,7591,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,-4.028048706054688,63.404065195719404,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7592,7607,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,d2,,poussette,-38.92701320648193,-67.11999543507893,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7608,7617,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m2,,topspin,15.709050750732422,90.27028516133626,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7618,7633,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,g2,,bloc,55.31911926269531,-71.07507362365723,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7634,7645,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,m3,,bloc,-8.770713806152344,92.43596076965332,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7646,7673,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,m2,,bloc,-17.93242778778076,-71.14325726826986,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7674,7693,garcon,coup_droit,1,att/att,serveur_point_contre,,intermediaire,m2,pt_gagne,topspin,-8.983969497680665,69.43955459594727,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7858,7899,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_gauche,,m2,,,10.745584869384766,71.01303939819336,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7900,7912,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,defensif,m3,,poussette,18.604031372070313,-122.34236624240876,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7913,7923,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,1.5313850402832032,129.88548787434897,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,7924,7934,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,-41.68626194000244,-73.3377114613851,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,7935,7959,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,8313,8337,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_gauche,,g2,,,-43.06039600372314,61.12897173563639,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,8338,8345,garcon,revers,2,att/att,ALEXIS-LEBRUN,,intermediaire,d3,,flip,-58.48941049575806,-100.77284197807312,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,8346,8370,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,8694,8712,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,d1,,,-36.00955314636231,-43.09958031972249,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,8713,8725,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,8.178985977172852,54.24456634521484,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,8726,8737,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,defensif,d2,,poussette,-46.99880237579346,-60.2967009862264,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,8738,8750,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,d3,,topspin,50.24610824584961,114.07686424255371,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,8751,8759,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,m2,,topspin,-23.077947044372557,-68.6879405339559,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,8760,8767,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,d3,,topspin,58.84693069458008,101.07882130940756,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,8768,8782,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,bloc,41.67369766235352,-120.13115248680114,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,8783,8794,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,-16.739285278320313,55.413426335652666,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,8795,8807,garcon,revers,2,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,-36.21350250244141,-63.91425793965657,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,8808,8840,garcon,coup_droit,2,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,9147,9200,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,g2,,,26.23998107910156,-53.20124683380127,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,9201,9213,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,g3,,flip,-29.22055606842041,108.94762153625489,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,9214,9220,garcon,revers,2,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,-13.345147323608398,-127.2924657424291,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,9221,9251,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,9685,9724,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,0.9773754119873047,68.8130106608073,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,9725,9736,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,7.207285690307617,-54.654486974080406,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,9737,9751,garcon,revers,2,att/att,FAN-ZHENDONG,,defensif,m3,,poussette,-21.420256042480467,105.2176939646403,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,9752,9762,garcon,revers,2,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,34.88990097045898,-119.81908797423044,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,9763,9770,garcon,revers,2,att/att,serveur_point_contre,,offensif,g2,pt_gagne,topspin,-26.94941520690918,72.03699607849121,2,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,10242,10266,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,d2,,,43.09284858703613,52.60681749979655,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,10267,10278,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,flip,41.797006607055664,-105.12181180318197,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,10279,10301,garcon,revers,2,att/att,serveur_point_pour,,offensif,,out,topspin,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,10737,10754,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,m3,,,16.423007583618165,-100.22739241917928,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,10755,10763,garcon,revers,2,att/att,FAN-ZHENDONG,,offensif,m3,,topspin,6.1421161651611325,98.18592898050944,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,10764,10775,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,g2,,topspin,55.18050994873047,-88.51381158828735,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,10776,10784,garcon,revers,2,att/att,FAN-ZHENDONG,,intermediaire,d2,,bloc,36.36698455810547,57.02217013041179,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,10785,10795,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,offensif,d2,,topspin,-47.25513610839844,-85.88666388193766,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,10801,10822,garcon,coup_droit,2,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,11136,11193,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,lat_droit,,d3,,,-31.163938522338867,-91.58766756057739,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,11194,11206,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,d3,,topspin,65.53002471923828,135.95987714131672,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,11207,11228,garcon,coup_droit,2,att/att,ALEXIS-LEBRUN,,intermediaire,m3,,bloc,-21.05317039489746,-128.48672148386638,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,11229,11239,garcon,coup_droit,2,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,-70.57903060913085,102.5134651184082,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,11240,11282,garcon,revers,2,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,12271,12300,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-19.060541915893555,81.71112988789876,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,12301,12323,garcon,revers,2,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,12711,12761,garcon,coup_droit,2,att/att,FAN-ZHENDONG,lat_droit,,g2,,,-34.86189498901367,74.02738711039225,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,12762,12774,garcon,revers,2,att/att,ALEXIS-LEBRUN,,defensif,m3,,poussette,23.547362518310546,-95.13197587331136,2,ALEXIS-LEBRUN,FAN-ZHENDONG
